Symbol,group
Gart,EuRBP
RpLP0,EuRBP
bru1,EuRBP
Arl1,EuRBP
Argk,EuRBP
aub,EuRBP
bic,EuRBP
BicC,EuRBP
BicD,EuRBP
brm,EuRBP
bur,EuRBP
c(3)G,EuRBP
CkIIbeta,EuRBP
salr,EuRBP
crn,EuRBP
cup,EuRBP
CycB,EuRBP
SmF,EuRBP
1-Dec,EuRBP
Dip-B,EuRBP
dwg,EuRBP
eEF1alpha2,EuRBP
eEF2,EuRBP
egl,EuRBP
exu,EuRBP
for,EuRBP
g,EuRBP
Got1,EuRBP
Got2,EuRBP
Gs1,EuRBP
GstD1,EuRBP
hay,EuRBP
His2Av,EuRBP
Hrb98DE,EuRBP
Hsc70-5,EuRBP
Hsp83,EuRBP
Idh,EuRBP
Kr,EuRBP
kz,EuRBP
Hlc,EuRBP
Grip91,EuRBP
eIF4A,EuRBP
FBgn0001974,EuRBP
stc,EuRBP
esg,EuRBP
wor,EuRBP
Mtr4,EuRBP
mRpL4,EuRBP
swm,EuRBP
AspRS,EuRBP
dre4,EuRBP
Prosbeta6,EuRBP
dco,EuRBP
hyd,EuRBP
lds,EuRBP
RpL36,EuRBP
RpS5a,EuRBP
RpLP1,EuRBP
RpS3,EuRBP
RpL32,EuRBP
Map205,EuRBP
mago,EuRBP
mle,EuRBP
mod,EuRBP
Rpn8,EuRBP
mus301,EuRBP
mus308,EuRBP
Blm,EuRBP
ncd,EuRBP
nos,EuRBP
odd,EuRBP
okr,EuRBP
osk,EuRBP
Fib,EuRBP
Pfk,EuRBP
polo,EuRBP
pum,EuRBP
r,EuRBP
ras,EuRBP
Ras85D,EuRBP
rl,EuRBP
r-l,EuRBP
Rm62,EuRBP
RpLP2,EuRBP
RpII18,EuRBP
RpII215,EuRBP
RpI135,EuRBP
RpL4,EuRBP
sbr,EuRBP
RanGAP,EuRBP
shi,EuRBP
shn,EuRBP
sm,EuRBP
snf,EuRBP
sol,EuRBP
spn-E,EuRBP
Sry-delta,EuRBP
sta,EuRBP
stau,EuRBP
su(f),EuRBP
su(Hw),EuRBP
Su(var)205,EuRBP
su(w[a]),EuRBP
CCT1,EuRBP
tko,EuRBP
Tm1,EuRBP
tra,EuRBP
tra2,EuRBP
tud,EuRBP
RpL40,EuRBP
RpS27A,EuRBP
ush,EuRBP
Prosalpha4,EuRBP
Pp1-87B,EuRBP
Cdk1,EuRBP
Nrt,EuRBP
mts,EuRBP
nonA,EuRBP
Hrb87F,EuRBP
HmgD,EuRBP
Klp61F,EuRBP
unk,EuRBP
Pep,EuRBP
RpS14a,EuRBP
RpS14b,EuRBP
DNApol-gamma35,EuRBP
me31B,EuRBP
RpIII128,EuRBP
GlyP,EuRBP
Dbp73D,EuRBP
bgcn,EuRBP
Rrp1,EuRBP
B52,EuRBP
gl,EuRBP
Pgd,EuRBP
Hrb27C,EuRBP
RpII15,EuRBP
RpS2,EuRBP
piwi,EuRBP
enc,EuRBP
orb,EuRBP
Scsalpha1,EuRBP
tws,EuRBP
sob,EuRBP
